Image,u,v
DJI_0908.JPG,3756,442
DJI_0908.JPG,3496,659
DJI_0908.JPG,3619,204
DJI_0908.JPG,3555,676
DJI_0908.JPG,3605,604
DJI_0908.JPG,3817,140
DJI_0908.JPG,3676,447
DJI_0908.JPG,3348,372
DJI_0908.JPG,3672,215
DJI_0908.JPG,3802,727
DJI_0908.JPG,3752,744
DJI_0908.JPG,3699,678
DJI_0908.JPG,3778,749
DJI_0908.JPG,3900,589
DJI_0908.JPG,3239,423
DJI_0908.JPG,3500,766
DJI_0908.JPG,3245,404
DJI_0908.JPG,3282,265
DJI_0908.JPG,3981,143
DJI_0908.JPG,3549,763
DJI_0908.JPG,3941,726
DJI_0908.JPG,3896,745
DJI_0908.JPG,3952,751
DJI_0908.JPG,3789,524
DJI_0908.JPG,3797,430
DJI_0908.JPG,3942,714
DJI_0908.JPG,3642,484
DJI_0908.JPG,3850,627
DJI_0908.JPG,3975,659
DJI_0908.JPG,3821,398
DJI_0908.JPG,3875,572
DJI_0908.JPG,3924,250
DJI_0908.JPG,3416,668
DJI_0908.JPG,3539,97
DJI_0908.JPG,3789,784
DJI_0908.JPG,3614,645
DJI_0908.JPG,3719,595
DJI_0908.JPG,3882,166
DJI_0908.JPG,3638,404
DJI_0908.JPG,3774,181
DJI_0908.JPG,3743,196
DJI_0908.JPG,3813,684
DJI_0908.JPG,3667,760
DJI_0908.JPG,3637,301
DJI_0908.JPG,3588,608
DJI_0908.JPG,3268,573
DJI_0908.JPG,3549,584
DJI_0908.JPG,3701,640
DJI_0908.JPG,3881,716
DJI_0908.JPG,3985,363
DJI_0908.JPG,3600,710
DJI_0908.JPG,3485,690
DJI_0908.JPG,3662,549
DJI_0908.JPG,3842,233
DJI_0908.JPG,3548,723
DJI_0908.JPG,3650,782
DJI_0908.JPG,3891,683
DJI_0908.JPG,3901,772
DJI_0908.JPG,3786,579
DJI_0908.JPG,3618,420
DJI_0908.JPG,3743,438
DJI_0908.JPG,3679,593
DJI_0908.JPG,3614,734
DJI_0908.JPG,3776,639
DJI_0908.JPG,3915,324
DJI_0908.JPG,3919,649
DJI_0908.JPG,3493,69
DJI_0908.JPG,3879,253
DJI_0908.JPG,3882,656
DJI_0908.JPG,3832,595
DJI_0908.JPG,3963,343
DJI_0908.JPG,3835,562
DJI_0908.JPG,3748,533
DJI_0908.JPG,3906,299
DJI_0908.JPG,3850,365
DJI_0908.JPG,3653,594
DJI_0908.JPG,3933,650
DJI_0908.JPG,3753,612
DJI_0908.JPG,3800,703
DJI_0908.JPG,3684,508
DJI_0908.JPG,3981,743
DJI_0908.JPG,3984,414
DJI_0908.JPG,3637,755
DJI_0908.JPG,3967,553
DJI_0908.JPG,3712,671
DJI_0908.JPG,3918,786
DJI_0908.JPG,3543,626
DJI_0908.JPG,3946,622
DJI_0908.JPG,3628,558
DJI_0908.JPG,3790,418
DJI_0908.JPG,3651,699
DJI_0908.JPG,3274,491
DJI_0908.JPG,3866,595
DJI_0908.JPG,3767,257
DJI_0908.JPG,3986,323
DJI_0908.JPG,3932,619
DJI_0908.JPG,3873,211
DJI_0908.JPG,3741,515
DJI_0908.JPG,3390,417
DJI_0908.JPG,3284,458
DJI_0908.JPG,3565,681
DJI_0908.JPG,3964,717
DJI_0908.JPG,3475,27
